UCF Code,RBH,Date of Onboarding,Modalku,Akseleran,BSS,Danabijak
GCD-271,Rajdeep Dutta,2023-04-19,2023-04-19,,2024-10-28,2025-11-25
GCD-15622,Rajdeep Dutta,2023-05-29,2023-05-29,,,
GCD-15651,Rajdeep Dutta,2023-05-26,2023-05-26,,,
GCD-3087,Rajdeep Dutta,2023-05-29,2023-05-29,,,
GCD-7491,Rajdeep Dutta,2023-05-30,2023-05-30,,,
GCD-731,Rajdeep Dutta,2023-05-30,2023-05-30,,,
GCD-13207,Rajdeep Dutta,2023-05-30,2023-05-30,,,
GCD-15629,Rajdeep Dutta,2023-05-30,2023-05-30,,,
GCD-840,Rajdeep Dutta,2023-05-19,2023-05-19,,,
GCD-2819,Rajdeep Dutta,2023-06-12,2023-06-12,,,2026-02-01
GCD-13824,Rajdeep Dutta,2023-06-08,2023-06-08,,,
GCD-9758,Rajdeep Dutta,2023-06-07,2023-06-07,,,
GCD-15822,Rajdeep Dutta,2023-06-07,2023-06-07,,,2025-12-17
GCD-15976,Rajdeep Dutta,2023-06-15,2023-06-15,,,
GCD-15710,Rajdeep Dutta,2023-06-23,2023-06-23,,,
GCD-578,Rajdeep Dutta,2023-06-09,2023-06-09,,,
GCD-2272,Rajdeep Dutta,2023-06-19,2023-06-19,,,
GCD-747,Rajdeep Dutta,2023-06-20,2023-06-20,,,
GCD-3700,Rajdeep Dutta,2023-06-08,2023-06-08,,,
GCD-9404,Rajdeep Dutta,2023-08-22,2023-08-22,,,
GCD-2002,Rajdeep Dutta,2023-08-09,2023-08-09,,,
GCD-3995,Rajdeep Dutta,2023-08-08,2023-08-08,,,2026-01-19
GCD-16950,Rajdeep Dutta,2023-08-03,2023-08-03,,,
GCD-5352,Rajdeep Dutta,2023-08-07,2023-08-07,,,
GCD-2719,Rajdeep Dutta,2023-08-23,2023-08-23,,,
GCD-17369,Rajdeep Dutta,2023-08-07,2023-08-07,,,2026-01-20
GCD-8302,Rajdeep Dutta,2023-08-15,2023-08-15,,,
GCD-3312,Rajdeep Dutta,2023-08-15,2023-08-15,,,
GCD-2656,Rajdeep Dutta,2023-08-16,2023-08-16,,,
GCD-17335,Rajdeep Dutta,2023-08-15,2023-08-15,,,
GCD-8830,Rajdeep Dutta,2023-08-21,2023-08-21,,,
GCD-11589,Rajdeep Dutta,2023-08-22,2023-08-22,,,
GCD-17571,Rajdeep Dutta,2023-08-23,2023-08-23,,,
GCD-12922,Rajdeep Dutta,2023-08-23,2023-08-23,,,
GCD-17299,Rajdeep Dutta,2023-08-23,2023-08-23,,,
GCD-2497,Rajdeep Dutta,2023-08-24,2023-08-24,,2025-03-13,2026-01-15
GCD-1313,Rajdeep Dutta,2023-08-25,2023-08-25,,,
GCD-490,Rajdeep Dutta,2023-08-25,2023-08-25,,,
GCD-17829,Rajdeep Dutta,2023-08-25,2023-08-25,,,
GCD-17903,Rajdeep Dutta,2023-08-29,2023-08-29,,,
GCD-17913,Rajdeep Dutta,2023-08-29,2023-08-29,,,
GCD-18002,Rajdeep Dutta,2023-08-30,2023-08-30,,,
GCD-17937,Rajdeep Dutta,2023-08-30,2023-08-30,,,
GCD-3062,Rajdeep Dutta,2023-07-20,2023-07-20,,,
GCD-2670,Rajdeep Dutta,2023-07-20,2023-07-20,,2024-10-28,2025-11-25
GCD-16388,Rajdeep Dutta,2023-07-18,2023-07-18,,,
GCD-2625,Rajdeep Dutta,2023-07-27,2023-07-27,,,2026-01-29
GCD-3547,Rajdeep Dutta,2023-07-05,2023-07-05,,,
GCD-16679,Rajdeep Dutta,2023-07-11,2023-07-11,,,
GCD-6854,Rajdeep Dutta,2023-07-14,2023-07-14,2024-10-15,,2026-01-21
GCD-15782,Rajdeep Dutta,2023-07-21,2023-07-21,,,
GCD-3081,Rajdeep Dutta,2023-07-25,2023-07-25,,,
GCD-4714,Rajdeep Dutta,2023-07-31,2023-07-31,,,
GCD-16811,Rajdeep Dutta,2023-07-18,2023-07-18,,,
GCD-16442,Rajdeep Dutta,2023-07-18,2023-07-18,2024-08-29,,
GCD-16812,Rajdeep Dutta,2023-07-18,2023-07-18,,,
GCD-17119,Rajdeep Dutta,2023-07-28,2023-07-28,,,
GCD-812,Rajdeep Dutta,2023-07-31,2023-07-31,,,
GCD-16031,Rajdeep Dutta,2023-07-07,2023-07-07,,,
GCD-2607,Rajdeep Dutta,2023-07-28,2023-07-28,,,
GCD-15935,Rajdeep Dutta,2023-07-11,2023-07-11,,,
GCD-16168,Rajdeep Dutta,2023-07-07,2023-07-07,,,
GCD-16416,Rajdeep Dutta,2023-07-31,2023-07-31,,,
GCD-8241,Rajdeep Dutta,2023-06-30,2023-06-30,,2025-08-28,2025-11-25
GCD-4456,Rajdeep Dutta,2023-06-30,2023-06-30,,,2026-02-02
GCD-15794,Rajdeep Dutta,2023-06-23,2023-06-23,,,
GCD-8381,Rajdeep Dutta,2023-06-27,2023-06-27,,,
GCD-16551,Rajdeep Dutta,2023-06-30,2023-06-30,,,
GCD-15956,Rajdeep Dutta,2023-06-30,2023-06-30,,,2026-01-23
GCD-16286,Rajdeep Dutta,2023-08-31,2023-08-31,,,
GCD-13869,Rajdeep Dutta,2023-08-31,2023-08-31,,,
GCD-17757,Rajdeep Dutta,2023-09-06,2023-09-06,,,
GCD-18240,Rajdeep Dutta,2023-09-08,2023-09-08,,,
GCD-13701,Rajdeep Dutta,2023-09-10,2023-09-10,,,
GCD-17668,Rajdeep Dutta,2023-09-10,2023-09-10,,,
GCD-2284,Rajdeep Dutta,2023-09-11,2023-09-11,,,
GCD-973,Rajdeep Dutta,2023-09-11,2023-09-11,,,
GCD-17920,Rajdeep Dutta,2023-09-19,2023-09-19,,,
GCD-11372,Rajdeep Dutta,2023-09-19,2023-09-19,,,
GCD-12325,Rajdeep Dutta,2023-09-20,2023-09-20,,,
GCD-1409,Rajdeep Dutta,2023-09-26,2023-09-26,,,
GCD-18378,Rajdeep Dutta,2023-10-03,2023-10-03,,,
GCD-18804,Rajdeep Dutta,2023-10-04,2023-10-04,,,
GCD-13345,Rajdeep Dutta,2023-10-09,2023-10-09,,,
GCD-18273,Rajdeep Dutta,2023-10-13,2023-10-13,,,
GCD-11448,Rajdeep Dutta,2023-10-17,2023-10-17,,,
GCD-17923,Rajdeep Dutta,2023-10-17,2023-10-17,,,
GCD-5223,Rajdeep Dutta,2023-10-18,2023-10-18,,,
GCD-18857,Rajdeep Dutta,2023-10-18,2023-10-18,,,
GCD-2932,Rajdeep Dutta,2023-10-20,2023-10-20,,,
GCD-589,Rajdeep Dutta,2023-10-23,2023-10-23,,,
GCD-18758,Rajdeep Dutta,2023-10-24,2023-10-24,,,
GCD-17684,Rajdeep Dutta,2023-10-25,2023-10-25,,,
GCD-18043,Rajdeep Dutta,2023-10-26,2023-10-26,,,
GCD-581,Rajdeep Dutta,2023-10-26,2023-10-26,,,
GCD-9919,Rajdeep Dutta,2023-10-27,2023-10-27,,,
GCD-4040,Rajdeep Dutta,2023-10-26,2023-10-26,,,
GCD-16963,Rajdeep Dutta,2023-10-30,2023-10-30,,,2026-01-23
GCD-18718,Rajdeep Dutta,2023-10-30,2023-10-30,,,
GCD-1826,Rajdeep Dutta,2023-10-30,2023-10-30,,,
GCD-18597,Rajdeep Dutta,2023-10-30,2023-10-30,,,
GCD-18611,Rajdeep Dutta,2023-10-30,2023-10-30,,,
GCD-18761,Rajdeep Dutta,2023-10-27,2023-10-27,,,
GCD-18736,Rajdeep Dutta,2023-11-01,2023-11-01,,,
GCD-15899,Rajdeep Dutta,2023-11-02,2023-11-02,,,
GCD-3350,Rajdeep Dutta,2023-11-06,2023-11-06,,,
GCD-19001,Rajdeep Dutta,2023-11-06,2023-11-06,,,
GCD-19087,Rajdeep Dutta,2023-11-06,2023-11-06,,,
GCD-11021,Rajdeep Dutta,2023-11-08,2023-11-08,,,
GCD-6402,Rajdeep Dutta,2023-11-09,2023-11-09,2024-09-23,,
GCD-4976,Rajdeep Dutta,2023-11-09,2023-11-09,,,2026-01-31
GCD-12763,Rajdeep Dutta,2023-11-09,2023-11-09,,,
GCD-2590,Rajdeep Dutta,2023-11-13,2023-11-13,,,
GCD-19189,Rajdeep Dutta,2023-11-13,2023-11-13,,,
GCD-13989,Rajdeep Dutta,2023-11-13,2023-11-13,,,
GCD-2754,Rajdeep Dutta,2023-11-14,2023-11-14,,,
GCD-18927,Rajdeep Dutta,2023-11-15,2023-11-15,,,2026-02-23
GCD-4420,Rajdeep Dutta,2023-11-16,2023-11-16,,,
GCD-19288,Rajdeep Dutta,2023-11-16,2023-11-16,,,
GCD-3649,Rajdeep Dutta,2023-11-17,2023-11-17,,,
GCD-19122,Rajdeep Dutta,2023-11-17,2023-11-17,,,
GCD-19213,Rajdeep Dutta,2023-11-17,2023-11-17,,,
GCD-18453,Rajdeep Dutta,2023-11-17,2023-11-17,,,
GCD-3347,Rajdeep Dutta,2023-11-20,2023-11-20,,,2026-01-30
GCD-19242,Rajdeep Dutta,2023-11-20,2023-11-20,,,
GCD-19254,Rajdeep Dutta,2023-11-20,2023-11-20,,,
GCD-7908,Rajdeep Dutta,2023-11-21,2023-11-21,,,
GCD-19264,Rajdeep Dutta,2023-11-21,2023-11-21,,,
GCD-1788,Rajdeep Dutta,2023-11-21,2023-11-21,,,
GCD-19109,Rajdeep Dutta,2023-11-21,2023-11-21,,,
GCD-19299,Rajdeep Dutta,2023-11-21,2023-11-21,,,
GCD-19290,Rajdeep Dutta,2023-11-21,2023-11-21,,,
GCD-19291,Rajdeep Dutta,2023-11-22,2023-11-22,,,
GCD-17986,Rajdeep Dutta,2023-11-22,2023-11-22,,,
GCD-19286,Rajdeep Dutta,2023-11-22,2023-11-22,,,
GCD-3250,Rajdeep Dutta,2023-11-22,2023-11-22,,,2025-12-12
GCD-19343,Rajdeep Dutta,2023-11-23,2023-11-23,,,
GCD-19248,Rajdeep Dutta,2023-11-23,2023-11-23,,,
GCD-3257,Rajdeep Dutta,2023-11-23,2023-11-23,,,
GCD-5983,Rajdeep Dutta,2023-11-23,2023-11-23,,,
GCD-2660,Rajdeep Dutta,2023-11-24,2023-11-24,,,
GCD-9324,Rajdeep Dutta,2023-11-24,2023-11-24,,,
GCD-19245,Rajdeep Dutta,2023-11-27,2023-11-27,,,
GCD-7708,Rajdeep Dutta,2023-11-28,2023-11-28,,,
GCD-18230,Rajdeep Dutta,2023-11-29,2023-11-29,,,
GCD-7752,Rajdeep Dutta,2023-11-30,2023-11-30,,,2026-01-28
GCD-1780,Rajdeep Dutta,2023-11-30,2023-11-30,,,
GCD-19175,Rajdeep Dutta,2023-12-04,2023-12-04,,,
GCD-2453,Rajdeep Dutta,2023-12-04,2023-12-04,,,
GCD-1728,Rajdeep Dutta,2023-12-05,2023-12-05,,,
GCD-15005,Rajdeep Dutta,2023-12-06,2023-12-06,,,
