Loan ID,Dealer ID,Date of Disburement,Loan Amount,Final Repayment Date,Hub,Repayment Date,Actual Interest (IDR)  for Repayment Tranche 1,Renewal Fee (0.5%),Dealer Repayed Amount,Repayment Tranche 2 Payment Date,Interest on Pending Amount ,Renewal Fee (0.5%),Actual Payment Received ,Repayment Tranche 3 Due Date,Interest on Pending Amount ,Actual Payment Received ,Repayment Tranche 3 Due Date,Interest on Pending Amount ,Actual Payment Received ,Repayment Tranche 3 Due Date,Interest on Pending Amount ,Actual Payment Received ,,Date Anchor 1,Date Anchor 2,Date Anchor 3,Date Anchor 4,Date Anchor 5,,Tranche 1,Tranche 2,Tranche 3,Tranche 4,Tranche 5,,Reversal 1,Reversal 2,Reversal 3,Reversal 4,Reversal 5,,Repossession,Financier,Lender,RBH
TRX00001,GCD-271,2023-04-12,140000000,2023-05-04,Jabodetabek,2023-05-04,2146666.666666667,,142146666.66666666,,,,,,,,,,,,,,,2023-05-04,,,,,,140000000,,,,,,0,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00002,GCD-271,2023-04-19,102000000,2023-07-16,Jabodetabek,2023-05-25,2516000.0000000005,,12240000,2023-06-16,1353381.3333333333,,12240000,2023-07-16,1682047.214222222,83132448,,,,,,,,2023-05-25,2023-06-16,2023-07-16,,,,9724000,10886618.666666666,81450400.78577778,,,,0,0,-61019.45244444907,,,,,Modalku,CSI,Rajdeep Dutta
TRX00003,GCD-271,2023-05-24,150000000,2023-08-22,Jabodetabek,2023-06-23,3100000.0000000005,,18000000,2023-07-24,2792066.666666667,,16392133,2023-08-22,2348998.717555555,123848932,,,,,,,,2023-06-23,2023-07-24,2023-08-22,,,,14900000,13600066.333333332,121499933.28244445,,,,0,0,0,,,,,Modalku,CSI,Rajdeep Dutta
TRX00004,GCD-271,2023-05-24,150000000,2023-08-22,Jabodetabek,2023-06-23,3100000.0000000005,,18000000,2023-07-24,2792066.666666667,,16392133,2023-08-22,2348998.717555555,123848932,,,,,,,,2023-06-23,2023-07-24,2023-08-22,,,,14900000,13600066.333333332,121499933.28244445,,,,0,0,0,,,,,Modalku,CSI,Rajdeep Dutta
TRX00005,GCD-840,2023-05-30,150000000,,Jabodetabek,2023-06-28,3000000,,18000000,2023-08-29,5580000,375000,60000000,,,,,,,,,,,2023-06-28,2023-08-29,,,,,15000000,54045000,,,,,0,0,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00006,GCD-271,2023-06-05,110250000,2023-07-21,Jabodetabek,2023-07-08,2499000,,13524000,2023-07-21,859950,,100151100,,,,,,,,,,,2023-07-08,2023-07-21,,,,,11025000,99291150,,,,,0,-66150,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00007,GCD-271,2023-06-05,110250000,2023-07-04,Jabodetabek,2023-07-04,2205000,,112455000.02,,,,,,,,,,,,,,,2023-07-04,,,,,,110250000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00008,GCD-9758,2023-06-05,79999900,2023-06-22,Jabodetabek,2023-06-22,959998.8,,80959898.82,,,,,,,,,,,,,,,2023-06-22,,,,,,79999900.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00009,GCD-840,2023-06-06,60000000,2023-07-26,Jabodetabek,2023-07-05,1200000,,7200000,2023-07-26,756000,,54756000,,,,,,,,,,,2023-07-05,2023-07-26,,,,,6000000,54000000,,,,,0,0,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00010,GCD-840,2023-06-07,149999900,2023-07-17,Jabodetabek,2023-07-05,2899998.066666667,,17999988,2023-07-17,1079199.2805333335,,136069043,,,,,,,,,,,2023-07-05,2023-07-17,,,,,15099989.933333334,134989843.71946666,,,,,0,-89933.65279999375,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00011,GCD-13824,2023-06-09,79999900,2023-07-24,Jabodetabek,2023-07-11,1759997.8000000003,,9759988,2023-07-24,623999.2182666668,,72671910,,,,,,,,,,,2023-07-11,2023-07-24,,,,,7999990.199999999,72047910.78173333,,,,,0,-48000.981733337045,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00012,GCD-3700,2023-06-09,70000000,2023-06-15,Jabodetabek,2023-06-15,326666.6666666667,,70326666.68666667,,,,,,,,,,,,,,,2023-06-15,,,,,,70000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
TRX00013,GCD-9758,2023-06-09,77000000,2023-07-11,Jabodetabek,2023-07-11,1694000.0000000002,,78694000.02,,,,,,,,,,,,,,,2023-07-11,,,,,,77000000.02,,,,,,-0.019999995827674866,,,,,,,Modalku,CSI,Rajdeep Dutta
